FEATURE_ID|FEATURE_NAME|FEATURE_NAME_OFFICIAL|DATE_CREATED
795|Armenta Well|Y|02/08/1980
796|Armstrong Tank|Y|02/08/1980
796|Armstrong Waterhole||
797|Arnold Lateral|Y|02/08/1980
798|Aros Ranch|Y|02/08/1980
799|Aros Wash|Y|02/08/1980
800|Arrastra Canyon|Y|06/27/1984
801|Arrastra Mountain|Y|02/08/1980
802|Arrastra Wash|Y|02/08/1980
803|Arrastra Well|Y|02/08/1980
804|Arrastre Gulch|Y|02/08/1980
805|Arroweed Spring|Y|02/08/1980
806|Arrowhead Butte|Y|02/08/1980
807|Arrowhead Butte|Y|02/08/1980
808|Arrowhead Spring|Y|02/08/1980
809|Arrowhead Tank|Y|02/08/1980
810|Arrowhead Terrace|Y|02/08/1980
811|Arrowhead Well|Y|02/08/1980
812|Arroyo del Compartidero|Y|02/08/1980
813|Arroyo del Puente|Y|02/08/1980
814|Arroyo Chico|Y|02/08/1980
815|Arroyo Hondo|Y|02/08/1980
816|Arroyo Seco|Y|02/08/1980
817|Arroyo Seco Tank|Y|02/08/1980
819|Arsenic Tank|Y|02/08/1980
820|Arsenic Tubs|Y|02/08/1980
821|Artesa Mountains|Y|02/08/1980
821|Artesa Mount||
821|Artesa Range||
821|Artesia Mountains||
821|Sierra Arteza||
822|Artesia Cemetery|Y|02/08/1980
823|Artesia School|Y|02/08/1980
824|Arthurs Meadow Draw|Y|02/08/1980
825|Artillery Mountains|Y|02/08/1980
825|Artillery Peaks||
826|Artillery Peak|Y|02/08/1980
827|Asa Spring|Y|02/08/1980
828|Asbestos Canyon|Y|02/08/1980
829|Ash Creek|Y|02/08/1980
830|Ash Creek|Y|02/08/1980
831|Ash Creek|Y|02/08/1980
832|Ash Creek|Y|05/07/2009
833|Ash Creek|Y|02/08/1980
833|Hawk Hollow Creek||
834|Ash Creek|Y|02/08/1980
835|Ash Creek|Y|02/08/1980
836|Ash Creek|Y|02/08/1980
837|Ash Creek|Y|02/08/1980
838|Ash Creek|Y|02/08/1980
839|Ash Creek Black Hills|Y|02/08/1980
840|Ash Creek Canyon|Y|03/05/2009
841|Ash Creek Dam|Y|02/08/1980
842|Ash Creek Falls|Y|02/08/1980
843|Ash Creek Ranch|Y|02/08/1980
844|Ash Creek Ridge|Y|02/08/1980
845|Ash Creek Elementary School|Y|09/18/2016
845|Ash Creek School||02/08/1980
846|Ash Creek Spring|Y|02/08/1980
847|Ash Creek Trough|Y|02/08/1980
848|Ash Flat|Y|02/08/1980
849|Ash Gulch|Y|02/08/1980
850|Ash Peak|Y|02/08/1980
851|Ash Peak Canyon|Y|02/08/1980
851|Sheldon Wash||
852|Ash Peak Mine|Y|02/08/1980
853|Ash Spring|Y|02/08/1980
854|Ash Timber Spring|Y|02/08/1980
855|Ash Wash|Y|02/08/1980
856|Ashrama Ranch|Y|02/08/1980
857|Ashurst Cemetery|Y|02/08/1980
858|Ashurst Hayden Dam|Y|02/08/1980
859|Aso Pass|Y|02/08/1980
860|Aso Tank|Y|02/08/1980
861|Asolido Wash|Y|02/08/1980
862|Aspen Butte|Y|02/08/1980
863|Aspen Canyon|Y|02/08/1980
864|Aspen Canyon|Y|02/08/1980
865|Aspen Grove Wash|Y|02/08/1980
866|Aspen Ridge|Y|02/08/1980
867|Aspen Spring|Y|02/08/1980
868|Aspen Spring|Y|02/08/1980
869|Aspen Wash|Y|02/08/1980
870|Aspen Wash|Y|02/08/1980
870|Burnt Corn Wash||
871|Assan Dechali Spring|Y|02/08/1980
872|Astin Spring|Y|02/08/1980
873|Astin Tank|Y|02/08/1980
874|Atkin Spring|Y|02/08/1980
875|Atkin-Larson Tank|Y|02/08/1980
876|Atkins Well|Y|02/08/1980
878|Atlantic Drain|Y|02/08/1980
879|Atlantic Spring|Y|02/08/1980
880|Atoko Point|Y|02/08/1980
881|Atsadahsidahi|Y|02/08/1980
882|Aubrey Cliffs|Y|02/08/1980
883|Aubrey Hills|Y|02/08/1980
883|Williams Mountains||
884|Aubrey Peak|Y|02/08/1980
885|Aubrey Peak|Y|02/08/1980
885|Groom Peak||
885|Grooms Peak||
886|Aubrey Valley|Y|02/08/1980
887|Audley|Y|02/08/1980
888|Aulson Canyon|Y|02/08/1980
888|Olson Canyon||
889|Aulson Spring|Y|02/08/1980
890|Austin Peak|Y|02/08/1980
891|Autsidy Smith Well|Y|02/08/1980
892|Auxiliary Supply Canal|Y|02/08/1980
893|Avalon Drain|Y|02/08/1980
894|Avispa Spring|Y|02/08/1980
895|Avondale|Y|02/08/1980
895|Avondale Ranch||
895|Litchfield||
896|Avra Cotton Gin|Y|02/08/1980
897|Avra Valley|Y|02/08/1980
897|Altar Valley||
897|Avivaca Valley||
898|Awatovi|Y|06/27/1984
898|A-wa-te-u||
898|Aguatobi||
898|Aguato||
898|Aguatubi||
898|Aguatuby||
898|Aguatuvi||
898|Aguatuya||
898|Aguatuyba||
898|Aguitobi||
898|Ah-wat-tenna||
898|Ahoato||
898|Ahuato||
898|Ahuatuyba||
898|Ahuzto||
898|Aoatovi||
898|Aqua-tubi||
898|Aquatasi||
898|Atabi-hogandi||
898|Aua-tu-ui||
898|Awatobi Ruins||
898|Awatobi||
898|Awatovi Ruins||03/09/2010
898|Saint Bernardo||
898|San Bernadino||
898|San Bernardino de Aguatuvi||
898|San Bernardino de Ahuatobi||
898|San Bernardino||
898|Talahogan||
898|Talla-Hogan||
898|Talla-Hogran||
898|Tally-hogan||
898|Zagnato||
898|Zaguate||
898|Zaguato||
898|Zuguato||
899|Awatovi Spring|Y|06/27/1984
899|Awatobi Spring||
899|Talahogan Spring||
900|Awatubi Creek|Y|02/08/1980
901|Awatubi Crest|Y|02/08/1980
902|Ayer Point|Y|02/08/1980
903|Aztec Amphitheater|Y|02/08/1980
905|Aztec Hills|Y|02/08/1980
906|Azure Ridge Draw|Y|02/08/1980
907|B Canal|Y|02/08/1980
908|BK Tank|Y|02/08/1980
909|BS Gap|Y|02/08/1980
910|BS Tank|Y|02/08/1980
911|BSK Mine|Y|02/08/1980
912|Ba Ha Zohnnie Betoh|Y|02/08/1980
913|Baah Lokaa Ridge|Y|02/08/1980
914|Babbit Tank|Y|02/08/1980
915|Babbit Tank|Y|02/08/1980
916|Babbitt Tank|Y|02/08/1980
917|Babbitt Tank Canyon|Y|02/08/1980
918|Babbitt Wash|Y|02/08/1980
919|Babcock Canyon|Y|04/13/2009
920|Baboquivari Canyon|Y|02/08/1980
921|Baboquivari High School|Y|02/08/1980
922|Baboquivari Mountains|Y|02/08/1980
922|Baboquivavari Range||
922|Baboquiveri Mountains||
922|Baboquiveri Range||
922|Pozo Verde Mountains||
922|Sierra Babququvari||
922|Sierra del Babuquibari||
922|Sierra det Babuqibari||
922|Srerra Babuquivari||
923|Baboquivari Peak|Y|02/08/1980
923|Baboquiverai Peak||
923|Baboquiveri Peak||
923|Baboquivori Paek||
923|Babuquiburi Peak||
923|Comobabi Peak||
923|Mount Babuquiburi||
923|Papago Peak||
923|Picacho del Babuquivari||
923|Pico del Babuquivari||
924|Baboquivari Valley|Y|02/08/1980
925|Baboquivari Wash|Y|02/08/1980
926|Baby Rocks|Y|02/08/1980
927|Baby Rocks Mesa|Y|02/08/1980
928|Babylon Tank|Y|02/08/1980
929|Bacavi|Y|06/27/1984
929|Bacabi||
929|Bacobi||
929|Bacovi||
929|Bakabi||
930|Jwa Qwaw Gwa Spring|Y|06/27/1984
930|Bachathaiva Spring||
931|Backbone Dam|Y|02/08/1980
932|Bad Bug Butte|Y|02/08/1980
933|Bad Luck Spring|Y|02/08/1980
934|Bad Medicine Butte|Y|02/08/1980
935|Badger Canyon|Y|02/08/1980
936|Badger Cove|Y|02/08/1980
937|Badger Creek|Y|02/08/1980
938|Badger Den Well|Y|02/08/1980
938|Badger Din Well||
939|Badger Lake|Y|02/08/1980
940|Badger Mine|Y|02/08/1980
941|Badger Spring|Y|02/08/1980
942|Badger Spring|Y|02/08/1980
943|Badger Spring|Y|02/08/1980
