"","State","County1","n.x","n.y"
"382","PR","TRUJILLO ALTO",NA,70
"383","PR","UTUADO",NA,81
"384","PR","VEGA ALTA",NA,54
"385","PR","VEGA BAJA",NA,66
"386","PR","VIEQUES",NA,80
"387","PR","VILLALBA",NA,34
"388","PR","YABUCOA",NA,69
"389","PR","YAUCO",NA,137
"390","PW","AIRAI",NA,41
"391","PW","ANGAUR",NA,42
"392","PW","KOROR",NA,23
"393","PW","MELEKEOK",NA,25
"394","PW","NGARAARD",NA,14
"395","PW","NGARDMAU",NA,2
"396","PW","NGCHESAR",NA,20
"397","PW","NGEREMLENGUI",NA,13
"398","PW","NGIWAL",NA,4
"399","PW","PELELIU",NA,13
"400","PW",NA,NA,897
"401","SD","OGLALA LAKOTA",NA,144
"402","UM","BAKER ISLAND",NA,4
"403","UM","HOWLAND ISLAND",NA,2
"404","UM","JARVIS ISLAND",NA,2
"405","UM","JOHNSTON ATOLL",NA,2
"406","UM","KINGMAN REEF",NA,1
"407","UM","MIDWAY ISLANDS",NA,7
"408","UM","NAVASSA ISLAND",NA,5
"409","UM","PALMYRA ATOLL",NA,4
"410","UM","WAKE ISLAND",NA,32
"411","VA","BRISTOL",NA,96
"412","VA","BUENA VISTA",NA,45
"413","VA","CHARLOTTESVILLE",NA,171
"414","VA","CHESAPEAKE",NA,515
"415","VA","COLONIAL HEIGHTS",NA,40
"416","VA","COVINGTON",NA,44
"417","VA","DANVILLE",NA,267
"418","VA","EMPORIA",NA,45
"419","VA","FALLS CHURCH",NA,44
"420","VA","FREDERICKSBURG",NA,83
"421","VA","GALAX",NA,29
"422","VA","HAMPTON",NA,470
"423","VA","HARRISONBURG",NA,99
"424","VA","HOPEWELL",NA,80
"425","VA","LEXINGTON",NA,68
"426","VA","LYNCHBURG",NA,331
"427","VA","MANASSAS",NA,56
"428","VA","MANASSAS PARK",NA,14
"429","VA","MARTINSVILLE",NA,68
"430","VA","NEWPORT NEWS",NA,508
"431","VA","NORTON",NA,15
"432","VA","PETERSBURG",NA,168
"433","VA","POQUOSON",NA,56
"434","VA","PORTSMOUTH",NA,431
"435","VA","POWHATAN",NA,152
"436","VA","RADFORD",NA,75
"437","VA","SALEM",NA,182
"438","VA","STAUNTON",NA,103
"439","VA","SUFFOLK",NA,530
"440","VA","VIRGINIA BEACH",NA,787
"441","VA","WAYNESBORO",NA,76
"442","VA","WILLIAMSBURG",NA,70
"443","VA","WINCHESTER",NA,81
"444","VA",NA,NA,5
"445","VI","ST. CROIX",NA,947
"446","VI","ST. JOHN",NA,318
"447","VI","ST. THOMAS",NA,675
"448","WI","ST. CROIX",NA,354
