"Name","AltName","OrigName","County1","County2","County3","State","Established","Continuous","Discontinued","StampIndex","ID","OrigCounty","GNIS.Name","GNIS.County","GNIS.State","GNIS.FEATURE_ID","GNIS.Feature.Class","GNIS.OrigName","GNIS.OrigCounty","GNIS.Latitude","GNIS.Longitude","GNIS.ELEV_IN_M","GNIS.ELEV_IN_FT","GNIS.Match","GNIS.Dist"
"MUDDY   FORK",NA,"MUDDY   FORK","KNOX",NA,NA,"MO","1856",TRUE,"1859","8",39241,"Knox","MUDDY FORK","KNOX","MO","733106","Locale","Muddy Fork","Knox","40.0811485","-92.3076859","252","827",TRUE,0.833333333333333
"MUDDY   LANE",NA,"MUDDY   LANE","LIVINGSTON",NA,NA,"MO","1868",TRUE,"1901","4",39242,"Livingston","MUDDY LANE","LIVINGSTON","MO","740423","Locale","Muddy Lane (historical)","Livingston","39.9380682","-93.7057733","288","945",TRUE,0.833333333333333
"NEW POTOSI",NA,"NEW POTOSI","MACON",NA,NA,"AL","1852",FALSE,"1866","7",40307,"Macon","NEW POTASI","MACON","AL","134045","Locale","New Potasi (historical)","Macon","32.4729162","-85.5652282","163","535",TRUE,0.9
"NEW YORK",NA,"NEW YORK","SUMTER",NA,NA,"AL","1850",TRUE,"1853","4",40402,"Sumter","NEW PORT","SUMTER","AL","134216","Locale","New Port (historical)","Sumter","32.6154129","-88.0805765","28","92",TRUE,0.75
"NEWTOWN",NA,"NEWTOWN","LEVY",NA,NA,"FL","1900",TRUE,"1912","4",40616,"Levy","NEWTON","LEVY","FL","303691","Locale","Newton","Levy","29.504965","-82.7395603","17","56",TRUE,0.857142857142857
"NORELL",NA,"NORELL","HINDS",NA,NA,"MS","1898",TRUE,"1910","4",40889,"Hinds","NORRELL","HINDS","MS","688504","Locale","Norrell","Hinds","32.3570895","-90.400094","74","243",TRUE,0.833333333333333
"NUTBANK",NA,"NUTBANK","JACKSON",NA,NA,"MS","1906",TRUE,"1922","3",41828,"Jackson","NUT BANK","JACKSON","MS","674992","Locale","Nut Bank","Jackson","30.5357527","-88.4861264","11","36",TRUE,0.857142857142857
"NUTTALL",NA,"NUTTALL","WARREN",NA,NA,"PA","1897",TRUE,"1899","6",41834,"Warren","NUTTAL","WARREN","PA","1213036","Locale","Nuttal","Warren","41.9333906","-79.3758832","581","1906",TRUE,0.857142857142857
"OAKATIBBEE",NA,"OAKATIBBEE","LAUDERDALE",NA,NA,"MS","1855",TRUE,"1857","9",41990,"Lauderdale","OKATIBBEE","LAUDERDALE","MS","684024","Locale","Okatibbee (historical)","Lauderdale","32.3007002","-88.7453243","86","282",TRUE,0.9
"OSBORN BRIDGE","OSBORN'S BRIDGE","OSBORN('S) BRIDGE","FULTON",NA,NA,"NY","1828",TRUE,"1918","3",43080,"Fulton","OSBOURNE BRIDGE","FULTON","NY","975760","Locale","Osbourne Bridge","Fulton","43.180628","-74.1509648","235","771",TRUE,0.846153846153846
"PAN HANDLE",NA,"PAN HANDLE","ALLEGHENY",NA,NA,"PA","1893",TRUE,"1896","4",43660,"Allegheny","PANHANDLE","ALLEGHENY","PA","1206205","Locale","Panhandle","Allegheny","40.3611805","-80.0922773","263","863",TRUE,0.9
"PARMA",NA,"PARMA","SUSQUEHANNA",NA,NA,"PA","1905",TRUE,"1909","6",43910,"Susquehanna","PALMA","SUSQUEHANNA","PA","1212967","Locale","Palma","Susquehanna","41.7325802","-75.6174089","382","1253",TRUE,0.8
"PELAHATCHEE DEPOT",NA,"PELAHATCHEE DEPOT","RANKIN",NA,NA,"MS","1859",TRUE,"1890","3",44417,"Rankin","PELAHATCHIE DEPOT","RANKIN","MS","709114","Locale","Pelahatchie Depot (historical)","Rankin","32.4195872","-89.9575818","108","354",TRUE,0.941176470588235
"PERRY'S CORNERS","PERRYS CORNERS","PERRY'S CORNERS","DUTCHESS",NA,NA,"NY","1850",TRUE,"1853","7",44682,"Dutchess","PERRY CORNERS","DUTCHESS","NY","960205","Locale","Perry Corners","Dutchess","41.8914818","-73.5504026","267","876",TRUE,0.866666666666667
"PICKEL'S LANDING","PICKELS LANDING","PICKEL'S LANDING","ROANE",NA,NA,"TN","1874",TRUE,"1884","6",44954,"Roane","PICKETTS LANDING","ROANE","TN","1316438","Locale","Picketts Landing (historical)","Roane","35.8153512","-84.6091034","224","735",TRUE,0.875
"PINEBLUFF",NA,"PINEBLUFF","CLAY",NA,NA,"MS","1838",TRUE,"1907","4",45303,"Clay","PINE BLUFF","CLAY","MS","684790","Locale","Pine Bluff (historical)","Clay","33.690396","-89.0097824","105","344",TRUE,0.888888888888889
"POPLAR SPRINGS FURNACE",NA,"POPLAR SPRINGS FURNACE","MONTGOMERY",NA,NA,"TN","1876",TRUE,"1878","7",46262,"Montgomery","POPLAR SPRING FURNACE","MONTGOMERY","TN","1319695","Locale","Poplar Spring Furnace (historical)","Montgomery","36.4714394","-87.5977929","152","499",TRUE,0.954545454545455
"POPLAR SPRINGS IRON WORKS",NA,"POPLAR SPRINGS IRON WORKS","MONTGOMERY",NA,NA,"TN","1854",TRUE,"1859","7",46263,"Montgomery","POPLAR SPRING IRON WORKS","MONTGOMERY","TN","1319695","Locale","Poplar Spring Iron Works","Montgomery","36.4714394","-87.5977929","152","499",TRUE,0.96
"POPLARHEAD",NA,"POPLARHEAD","CALHOUN",NA,NA,"FL","1891",TRUE,"1894","6",46265,"Calhoun","POPLAR HEAD","CALHOUN","FL","304083","Locale","Poplar Head","Calhoun","30.4543615","-85.1857537","29","95",TRUE,0.9
